injector_code,manufacturer_name,volt_ampere_profile,code_type,calibration_id,coefficient,is_custom,is_heui
8-98011605-#,Denso,DENSO_COIL0.5,3,62,24,FALSE,FALSE
8-98151837-0,Denso,DENSO_COIL0.5,1,55,30,FALSE,FALSE
8-98160061-#,Denso,DENSO_COIL0.5,1,64,30,FALSE,FALSE
8-98260109-0,Denso,DENSO_COIL0.5H,3,7A,24,FALSE,FALSE
9674973080A,Siemens,SIEMENS_PIEZO,1,,,FALSE,FALSE
9709500-017,Denso,DENSO_COIL0.7,-1,,,FALSE,FALSE
9709500-040,Denso,DENSO_COIL0.7,-1,,,FALSE,FALSE
9709500-051,Denso,DENSO_COIL3,-1,,,FALSE,FALSE
9709500-074,Denso,DENSO_COIL3,-1,,,FALSE,FALSE
9709500-075,Denso,DENSO_COIL3,-1,,,FALSE,FALSE
9709500-103,Denso,DENSO_COIL0.7,-1,,,FALSE,FALSE
9709500-500,Denso,DENSO_COIL0.5,-1,,,FALSE,FALSE
9709500-501,Denso,DENSO_COIL0.5,-1,,,FALSE,FALSE
9709500-508,Denso,DENSO_COIL0.5,4,50,22,FALSE,FALSE
9709500-513,Denso,DENSO_COIL0.5,-1,,,FALSE,FALSE
9709500-521,Denso,DENSO_COIL0.5,1,72,30,FALSE,FALSE
9709500-522,Denso,DENSO_COIL0.5,1,62,30,FALSE,FALSE
9709500-525,Denso,DENSO_COIL1N,1,10,30,FALSE,FALSE
9709500-534,Denso,DENSO_COIL0.5,1,56,30,FALSE,FALSE
9709500-547,Denso,DENSO_COIL0.5,1,55,30,FALSE,FALSE
9709500-551,Denso,DENSO_COIL0.5,1,5A,30,FALSE,FALSE
9709500-555,Denso,DENSO_COIL0.5,1,C0,30,FALSE,FALSE
9709500-588,Denso,DENSO_COIL1N,1,22,30,FALSE,FALSE
9709500-589,Denso,DENSO_COIL1N,1,12,30,FALSE,FALSE
9709500-602,Denso,DENSO_COIL0.5,1,D1,30,FALSE,FALSE
9709500-603,Denso,DENSO_COIL0.5,-1,,,FALSE,FALSE
9709500-610,Denso,DENSO_COIL0.5,3,5F,24,FALSE,FALSE
9709500-613,Denso,DENSO_COIL0.5,4,5D,22,FALSE,FALSE
9709500-635,Denso,DENSO_COIL0.5,1,21,30,FALSE,FALSE
9709500-636,Denso,DENSO_COIL0.5,1,64,30,FALSE,FALSE
9709500-637,Denso,DENSO_COIL0.5,1,65,30,FALSE,FALSE
9709500-651,Denso,DENSO_COIL0.5,1,2,30,FALSE,FALSE
9709500-652,Denso,DENSO_COIL0.5,1,3,30,FALSE,FALSE
9709500-659,Denso,DENSO_COIL0.5,1,41,30,FALSE,FALSE
9709500-663,Denso,DENSO_COIL0.5,1,DE,30,FALSE,FALSE
9709500-698,Denso,DENSO_COIL0.5,3,5F,24,FALSE,FALSE
9709500-699,Denso,DENSO_COIL0.5,3,62,24,FALSE,FALSE
9709500-714,Denso,DENSO_COIL0.5,1,C3,30,FALSE,FALSE
9709500-750,Denso,DENSO_COIL0.5,1,96,30,FALSE,FALSE
9709500-758,Denso,DENSO_COIL1N,1,1,30,FALSE,FALSE
9709500-771,Denso,DENSO_COIL1N,1,60,30,FALSE,FALSE
9709500-773,Denso,DENSO_COIL1N,1,12,30,FALSE,FALSE
9709500-776,Denso,DENSO_COIL1N,1,22,30,FALSE,FALSE
9709500-778,Denso,DENSO_COIL1N,1,13,30,FALSE,FALSE
9709500-780,Denso,DENSO_COIL1N,1,23,30,FALSE,FALSE
9709500-785,Denso,DENSO_COIL0.5,-1,,,FALSE,FALSE
9709500-789,Denso,DENSO_COIL0.5H,1,B3,30,FALSE,FALSE
9709500-811,Denso,DENSO_COIL0.5,1,99,30,FALSE,FALSE
9709500-890,Denso,DENSO_COIL0.5,1,55,30,FALSE,FALSE
9709500-956,Denso,DENSO_COIL0.5,1,97,30,FALSE,FALSE
9709500-977,Denso,DENSO_COIL1N,1,61,30,FALSE,FALSE
9709500-978,Denso,DENSO_COIL1N,1,60,30,FALSE,FALSE
9C1Q-9K546-BA,Denso,DENSO_COIL0.5,2,F6,16,FALSE,FALSE
A04011000001,AZPI,AZPI_COIL,-1,,,FALSE,FALSE
A04011000003,AZPI,AZPI_COIL,-1,,,FALSE,FALSE
