id,pump_code,test_name,vacuum,adjusting_time,measuring_time,motor_speed,target_pressure,min_direct_flow,max_direct_flow,min_back_flow,max_back_flow,regulator_current,pcv_current,calibration_min_i,calibration_max_i,calibration_i1,calibration_i2,calibration_i_offset,is_custom
8932,0 986 437 461,5,FALSE,10,20,200,200,4.2,7.8,,,0.4,,,,,,,FALSE
8933,0 986 437 461,7,FALSE,10,20,1000,2000,23.4,32.4,69.96,190.02,0.4,,,,,,,FALSE
8934,0 986 437 461,10,FALSE,10,20,3375,500,87,109.2,,,0.4,,,,,,,FALSE
8935,0 986 437 461,11,FALSE,10,20,3375,500,63,87,,,0.9,,,,,,,FALSE
8936,0 986 437 461,12,FALSE,10,20,3375,500,30,50.4,,,1.2,,,,,,,FALSE
8937,0 986 437 461,13,FALSE,10,20,3375,500,5.4,17.4,,,1.5,,,,,,,FALSE
8938,0 986 437 461,14,FALSE,10,20,1000,0,0,0.6,,,1.7,,,,,,,FALSE
8939,0 986 437 462,1,FALSE,60,,500,0,,,,,0.4,,,,,,,FALSE
8940,0 986 437 462,2,FALSE,60,,2000,500,,,,,0.4,,,,,,,FALSE
8941,0 986 437 462,5,FALSE,10,20,200,200,3.6,7.2,,,0.4,,,,,,,FALSE
8942,0 986 437 462,7,FALSE,10,20,1000,2000,21,30,69.96,190.02,0.4,,,,,,,FALSE
8943,0 986 437 462,10,FALSE,10,20,3375,500,83.4,100.2,,,0.4,,,,,,,FALSE
8944,0 986 437 462,11,FALSE,10,20,3375,500,63,91.2,,,0.9,,,,,,,FALSE
8945,0 986 437 462,12,FALSE,10,20,3375,500,31.8,50.4,,,1.2,,,,,,,FALSE
8946,0 986 437 462,13,FALSE,10,20,3375,500,4.2,16.8,,,1.5,,,,,,,FALSE
8947,0 986 437 462,14,FALSE,10,20,1000,0,0,0.6,,,1.7,,,,,,,FALSE
8948,0 986 437 463,1,FALSE,60,,500,0,,,,,0.4,,,,,,,FALSE
8949,0 986 437 463,2,FALSE,60,,2000,500,,,,,0.4,,,,,,,FALSE
8950,0 986 437 463,5,FALSE,10,20,200,200,7.2,10.8,,,0.4,,,,,,,FALSE
8951,0 986 437 463,7,FALSE,10,20,1000,2000,35.4,46.8,,,0.4,,,,,,,FALSE
8952,0 986 437 463,10,FALSE,10,20,3375,500,86.4,121.2,,,0.9,,,,,,,FALSE
8953,0 986 437 463,11,FALSE,10,20,3375,500,39,62.4,,,1.2,,,,,,,FALSE
8954,0 986 437 463,12,FALSE,10,20,3375,500,6.6,22.8,,,1.5,,,,,,,FALSE
8955,0 986 437 463,13,TRUE,10,20,1000,0,0,0.6,,,1.7,,,,,,,FALSE
8956,0 986 437 465,1,FALSE,60,,500,0,,,,,0.4,,,,,,,FALSE
8957,0 986 437 465,2,FALSE,60,,2000,500,,,,,0.4,,,,,,,FALSE
8958,0 986 437 465,5,FALSE,10,20,200,200,3,6.6,,,0.4,,,,,,,FALSE
8959,0 986 437 465,7,FALSE,10,20,1000,1800,36.6,46.8,70.2,190.8,0.4,,,,,,,FALSE
8960,0 986 437 465,10,FALSE,10,20,2250,500,75.6,97.2,,,0.4,,,,,,,FALSE
8961,0 986 437 465,11,FALSE,10,20,2250,500,52.2,72,,,0.9,,,,,,,FALSE
8962,0 986 437 465,12,FALSE,10,20,2250,500,30.6,46.8,,,1.2,,,,,,,FALSE
8963,0 986 437 465,13,FALSE,10,20,2250,500,7.2,21,,,1.5,,,,,,,FALSE
8964,0 986 437 465,14,FALSE,10,20,1000,0,0,0.6,,,1.7,,,,,,,FALSE
